15m,20m,25m,30m,35m,40m,45m,50m,60m,65m,70m,75m,80m,85m,90m,95m,100m
6.01,8.58,11.16,13.81,16.47,19.14,21.79,24.68,28.83,31.57,34.32,37.06,39.90,42.73,45.57,48.40,51.0
6.09,8.69,11.29,13.97,16.65,19.34,22.02,24.93,29.14,31.90,34.67,37.44,40.30,43.16,46.02,48.88,51.5
6.18,8.80,11.42,14.12,16.83,19.54,22.25,25.19,29.45,32.23,35.03,37.82,40.71,43.59,46.47,49.35,52.0
6.27,8.91,11.55,14.28,17.01,19.75,22.47,25.44,29.75,32.56,35.38,38.20,41.11,44.02,46.92,49.83,52.5
6.35,9.01,11.68,14.43,17.19,19.95,22.70,25.69,30.06,32.89,35.74,38.58,41.51,44.44,47.37,50.30,53.0
6.44,9.12,11.81,14.59,17.37,20.15,22.93,25.95,30.36,33.22,36.09,38.96,41.92,44.87,47.82,50.78,53.5
6.52,9.23,11.94,14.74,17.55,20.36,23.16,26.20,30.67,33.56,36.45,39.34,42.32,45.30,48.27,51.26,54.0
6.61,9.34,12.08,14.90,17.73,20.56,23.38,26.45,30.97,33.89,36.80,39.72,42.72,45.72,48.72,51.73,54.5
6.70,9.45,12.21,15.06,17.91,20.76,23.61,26.71,31.28,34.22,37.16,40.10,43.13,46.15,49.18,52.21,55.0
6.78,9.56,12.34,15.21,18.09,20.97,23.84,26.96,31.59,34.55,37.51,40.48,43.53,46.58,49.63,52.68,55.5
6.87,9.67,12.47,15.37,18.27,21.17,24.06,27.22,31.89,34.88,37.87,40.86,43.93,47.01,50.08,53.16,56.0
6.95,9.77,12.60,15.52,18.45,21.37,24.29,27.47,32.20,35.21,38.22,41.23,44.34,47.43,50.53,53.63,56.5
7.04,9.88,12.73,15.68,18.63,21.57,24.52,27.72,32.50,35.54,38.58,41.61,44.74,47.86,50.98,54.11,57.0
7.12,9.99,12.86,15.83,18.80,21.78,24.75,27.98,32.81,35.87,38.93,41.99,45.14,48.29,51.43,54.58,57.5
7.21,10.10,13.00,15.99,18.98,21.98,24.97,28.23,33.12,36.20,39.28,42.37,45.55,48.72,51.88,55.06,58.0
7.30,10.21,13.13,16.14,19.16,22.18,25.20,28.48,33.42,36.53,39.64,42.75,45.95,49.14,52.34,55.53,58.5
7.38,10.32,13.26,16.30,19.34,22.39,25.43,28.74,33.73,36.86,39.99,43.13,46.35,49.57,52.79,56.01,59.0
7.47,10.43,13.39,16.45,19.52,22.59,25.65,28.99,34.03,37.19,40.35,43.51,46.76,50.00,53.24,56.48,59.5
7.55,10.54,13.52,16.61,19.70,22.79,25.88,29.25,34.34,37.52,40.70,43.89,47.16,50.42,53.69,56.96,60.0
7.64,10.64,13.65,16.76,19.88,23.00,26.11,29.50,34.65,37.85,41.06,44.27,47.56,50.85,54.14,57.44,60.5
7.73,10.75,13.78,16.92,20.06,23.20,26.34,29.75,34.95,38.18,41.41,44.65,47.97,51.28,54.59,57.91,61.0
7.81,10.86,13.92,17.07,20.24,23.40,26.56,30.01,35.26,38.51,41.77,45.03,48.37,51.71,55.04,58.39,61.5
7.90,10.97,14.05,17.23,20.42,23.61,26.79,30.26,35.56,38.84,42.12,45.40,48.77,52.13,55.49,58.86,62.0
7.98,11.08,14.18,17.38,20.60,23.81,27.02,30.51,35.87,39.17,42.48,45.78,49.17,52.56,55.95,59.34,62.5
8.07,11.19,14.31,17.54,20.78,24.01,27.24,30.77,36.18,39.50,42.83,46.16,49.58,52.99,56.40,59.81,63.0
8.16,11.30,14.44,17.70,20.96,24.22,27.47,31.02,36.48,39.83,43.19,46.54,49.98,53.41,56.85,60.29,63.5
8.24,11.40,14.57,17.85,21.14,24.42,27.70,31.28,36.79,40.16,43.54,46.92,50.38,53.84,57.30,60.76,64.0
8.33,11.51,14.70,18.01,21.31,24.62,27.92,31.53,37.09,40.49,43.90,47.30,50.79,54.27,57.75,61.24,64.5
8.41,11.62,14.84,18.16,21.49,24.83,28.15,31.78,37.40,40.82,44.25,47.68,51.19,54.70,58.20,61.71,65.0
8.50,11.73,14.97,18.32,21.67,25.03,28.38,32.04,37.71,41.15,44.61,48.06,51.59,55.12,58.65,62.19,65.5
8.59,11.84,15.10,18.47,21.85,25.23,28.61,32.29,38.01,41.48,44.96,48.44,52.00,55.55,59.10,62.66,66.0
