15m,20m,25m,30m,35m,40m,45m,50m,60m,65m,70m,75m,80m,85m,90m,95m,100m
6.23,9.14,12.04,14.99,17.94,20.89,23.85,26.60,32.09,35.19,38.28,41.37,44.55,47.73,50.90,54.08,57.0
6.31,9.24,12.16,15.14,18.11,21.09,24.06,26.84,32.39,35.51,38.63,41.75,44.95,48.15,51.35,54.55,57.5
6.39,9.34,12.28,15.29,18.28,21.28,24.28,27.09,32.69,35.83,38.98,42.12,45.35,48.58,51.80,55.03,58.0
6.47,9.44,12.41,15.43,18.45,21.48,24.50,27.33,32.99,36.16,39.32,42.49,45.74,49.00,52.25,55.50,58.5
6.55,9.54,12.53,15.58,18.62,21.67,24.72,27.58,33.29,36.48,39.67,42.86,46.14,49.42,52.70,55.98,59.0
6.63,9.64,12.65,15.73,18.79,21.87,24.94,27.82,33.58,36.80,40.02,43.24,46.54,49.85,53.15,56.45,59.5
6.71,9.74,12.78,15.87,18.97,22.06,25.16,28.07,33.88,37.12,40.37,43.61,46.94,50.27,53.60,56.93,60.0
6.79,9.85,12.90,16.02,19.14,22.26,25.38,28.32,34.18,37.45,40.71,43.98,47.34,50.70,54.05,57.40,60.5
6.87,9.95,13.02,16.17,19.31,22.45,25.60,28.56,34.48,37.77,41.06,44.35,47.73,51.12,54.50,57.88,61.0
6.94,10.05,13.15,16.32,19.48,22.65,25.81,28.81,34.78,38.09,41.41,44.73,48.13,51.54,54.95,58.35,61.5
7.02,10.15,13.27,16.46,19.65,22.84,26.03,29.05,35.08,38.42,41.76,45.10,48.53,51.97,55.40,58.83,62.0
7.10,10.25,13.39,16.61,19.82,23.04,26.25,29.30,35.37,38.74,42.11,45.47,48.93,52.39,55.85,59.30,62.5
7.18,10.35,13.52,16.76,19.99,23.23,26.47,29.54,35.67,39.06,42.45,45.84,49.33,52.82,56.30,59.78,63.0
7.26,10.45,13.64,16.90,20.16,23.43,26.69,29.79,35.97,39.39,42.80,46.22,49.73,53.24,56.75,60.25,63.5
7.34,10.55,13.76,17.05,20.33,23.62,26.91,30.04,36.27,39.71,43.15,46.59,50.12,53.66,57.20,60.73,64.0
7.42,10.65,13.89,17.20,20.50,23.82,27.13,30.28,36.57,40.03,43.50,46.96,50.52,54.09,57.65,61.20,64.5
7.50,10.76,14.01,17.35,20.67,24.01,27.35,30.53,36.87,40.36,43.85,47.34,50.92,54.51,58.09,61.68,65.0
7.58,10.86,14.13,17.49,20.85,24.21,27.56,30.77,37.16,40.68,44.19,47.71,51.32,54.93,58.54,62.15,65.5
7.65,10.96,14.26,17.64,21.02,24.40,27.78,31.02,37.46,41.00,44.54,48.08,51.72,55.36,58.99,62.63,66.0
7.73,11.06,14.38,17.79,21.19,24.59,28.00,31.26,37.76,41.32,44.89,48.45,52.11,55.78,59.44,63.10,66.5
7.81,11.16,14.50,17.93,21.36,24.79,28.22,31.51,38.06,41.65,45.24,48.83,52.51,56.21,59.89,63.58,67.0
7.89,11.26,14.63,18.08,21.53,24.98,28.44,31.76,38.36,41.97,45.58,49.20,52.91,56.63,60.34,64.05,67.5
7.97,11.36,14.75,18.23,21.70,25.18,28.66,32.00,38.66,42.29,45.93,49.57,53.31,57.05,60.79,64.53,68.0
8.05,11.46,14.87,18.38,21.87,25.37,28.88,32.25,38.95,42.62,46.28,49.94,53.71,57.48,61.24,65.00,68.5
8.13,11.56,15.00,18.52,22.04,25.57,29.10,32.49,39.25,42.94,46.63,50.32,54.10,57.90,61.69,65.48,69.0
8.21,11.66,15.12,18.67,22.21,25.76,29.31,32.74,39.55,43.26,46.98,50.69,54.50,58.32,62.14,65.95,69.5
8.29,11.77,15.24,18.82,22.38,25.96,29.53,32.98,39.85,43.59,47.32,51.06,54.90,58.75,62.59,66.43,70.0
8.37,11.87,15.36,18.96,22.56,26.15,29.75,33.23,40.15,43.91,47.67,51.43,55.30,59.17,63.04,66.90,70.5
8.44,11.97,15.49,19.11,22.73,26.35,29.97,33.48,40.44,44.23,48.02,51.81,55.70,59.60,63.49,67.38,71.0
8.52,12.07,15.61,19.26,22.90,26.54,30.19,33.72,40.74,44.55,48.37,52.18,56.10,60.02,63.94,67.85,71.5
8.60,12.17,15.73,19.40,23.07,26.74,30.41,33.97,41.04,44.88,48.71,52.55,56.49,60.44,64.39,68.33,72.0
