15m,20m,25m,30m,35m,40m,45m,50m,60m,65m,70m,75m,80m,85m,90m,95m,100m
5.46,7.95,10.44,13.01,15.57,18.13,20.69,23.14,28.05,30.68,33.32,35.96,38.69,41.43,44.17,46.90,49.5
5.53,8.05,10.56,13.15,15.73,18.32,20.90,23.38,28.34,31.00,33.67,36.33,39.09,41.85,44.61,47.37,50.0
5.61,8.15,10.68,13.29,15.90,18.51,21.11,23.61,28.64,31.32,34.01,36.70,39.49,42.27,45.06,47.85,50.5
5.69,8.25,10.81,13.44,16.07,18.70,21.32,23.85,28.93,31.64,34.35,37.07,39.88,42.70,45.51,48.32,51.0
5.77,8.35,10.93,13.58,16.23,18.89,21.54,24.09,29.22,31.96,34.70,37.44,40.28,43.12,45.96,48.80,51.5
5.85,8.45,11.05,13.73,16.40,19.08,21.75,24.33,29.51,32.28,35.04,37.81,40.68,43.54,46.41,49.27,52.0
5.93,8.55,11.17,13.87,16.56,19.26,21.96,24.57,29.81,32.59,35.39,38.18,41.07,43.96,46.86,49.74,52.5
6.01,8.65,11.29,14.01,16.73,19.45,22.17,24.81,30.10,32.91,35.73,38.55,41.47,44.39,47.30,50.22,53.0
6.09,8.75,11.41,14.16,16.90,19.64,22.38,25.05,30.39,33.23,36.07,38.92,41.86,44.81,47.75,50.69,53.5
6.16,8.85,11.54,14.30,17.06,19.83,22.59,25.29,30.68,33.55,36.42,39.29,42.26,45.23,48.20,51.17,54.0
6.24,8.95,11.66,14.45,17.23,20.02,22.80,25.53,30.97,33.87,36.76,39.66,42.66,45.65,48.65,51.64,54.5
6.32,9.05,11.78,14.59,17.40,20.21,23.02,25.77,31.27,34.18,37.11,40.03,43.05,46.08,49.10,52.12,55.0
6.40,9.15,11.90,14.73,17.56,20.40,23.23,26.01,31.56,34.50,37.45,40.40,43.45,46.50,49.55,52.59,55.5
6.48,9.25,12.02,14.88,17.73,20.59,23.44,26.25,31.85,34.82,37.80,40.77,43.85,46.92,50.00,53.07,56.0
6.56,9.35,12.14,15.02,17.90,20.78,23.65,26.49,32.14,35.14,38.14,41.14,44.24,47.34,50.44,53.54,56.5
6.64,9.45,12.26,15.17,18.06,20.97,23.86,26.73,32.44,35.46,38.48,41.51,44.64,47.77,50.89,54.01,57.0
6.72,9.55,12.39,15.31,18.23,21.15,24.07,26.97,32.73,35.78,38.83,41.88,45.03,48.19,51.34,54.49,57.5
6.79,9.65,12.51,15.45,18.40,21.34,24.28,27.21,33.02,36.09,39.17,42.25,45.43,48.61,51.79,54.96,58.0
6.87,9.75,12.63,15.60,18.56,21.53,24.50,27.44,33.31,36.41,39.52,42.62,45.83,49.03,52.24,55.44,58.5
6.95,9.85,12.75,15.74,18.73,21.72,24.71,27.68,33.61,36.73,39.86,42.99,46.22,49.45,52.69,55.91,59.0
7.03,9.95,12.87,15.89,18.90,21.91,24.92,27.92,33.90,37.05,40.21,43.36,46.62,49.88,53.13,56.39,59.5
7.11,10.05,12.99,16.03,19.06,22.10,25.13,28.16,34.19,37.37,40.55,43.73,47.02,50.30,53.58,56.86,60.0
7.19,10.15,13.12,16.18,19.23,22.29,25.34,28.40,34.48,37.69,40.89,44.10,47.41,50.72,54.03,57.34,60.5
7.27,10.25,13.24,16.32,19.40,22.48,25.55,28.64,34.78,38.00,41.24,44.47,47.81,51.14,54.48,57.81,61.0
7.34,10.35,13.36,16.46,19.56,22.67,25.77,28.88,35.07,38.32,41.58,44.84,48.20,51.57,54.93,58.29,61.5
7.42,10.45,13.48,16.61,19.73,22.86,25.98,29.12,35.36,38.64,41.93,45.21,48.60,51.99,55.38,58.76,62.0
7.50,10.55,13.60,16.75,19.89,23.04,26.19,29.36,35.65,38.96,42.27,45.58,49.00,52.41,55.82,59.23,62.5
7.58,10.66,13.72,16.90,20.06,23.23,26.40,29.60,35.94,39.28,42.61,45.95,49.39,52.83,56.27,59.71,63.0
7.66,10.76,13.84,17.04,20.23,23.42,26.61,29.84,36.24,39.59,42.96,46.32,49.79,53.26,56.72,60.18,63.5
7.74,10.86,13.97,17.18,20.39,23.61,26.82,30.08,36.53,39.91,43.30,46.69,50.19,53.68,57.17,60.66,64.0
7.82,10.96,14.09,17.33,20.56,23.80,27.03,30.32,36.82,40.23,43.65,47.06,50.58,54.10,57.62,61.13,64.5
