15m,25m,50m,75m,100m,125m,150m,175m,200m
6.26,11.75,25.93,38.98,53.61,1:06.84,1:21.79,1:35.09,1:50.00
6.29,11.80,26.04,39.15,53.85,1:07.13,1:22.17,1:35.53,1:50.50
6.32,11.85,26.15,39.31,54.09,1:07.43,1:22.54,1:35.97,1:51.00
6.36,11.90,26.25,39.47,54.32,1:07.73,1:22.91,1:36.41,1:51.50
6.39,11.95,26.36,39.63,54.56,1:08.02,1:23.28,1:36.84,1:52.00
6.42,12.00,26.47,39.80,54.80,1:08.32,1:23.66,1:37.28,1:52.50
6.46,12.05,26.58,39.96,55.04,1:08.61,1:24.03,1:37.72,1:53.00
6.49,12.10,26.69,40.12,55.28,1:08.91,1:24.40,1:38.16,1:53.50
6.53,12.15,26.80,40.28,55.52,1:09.20,1:24.78,1:38.59,1:54.00
6.56,12.20,26.91,40.45,55.76,1:09.50,1:25.15,1:39.03,1:54.50
6.59,12.25,27.02,40.61,55.99,1:09.79,1:25.52,1:39.47,1:55.00
6.63,12.30,27.12,40.77,56.23,1:10.09,1:25.90,1:39.90,1:55.50
6.66,12.34,27.23,40.93,56.47,1:10.38,1:26.27,1:40.34,1:56.00
6.70,12.39,27.34,41.10,56.71,1:10.68,1:26.64,1:40.78,1:56.50
6.73,12.44,27.45,41.26,56.95,1:10.97,1:27.02,1:41.22,1:57.00
6.76,12.49,27.56,41.42,57.19,1:11.27,1:27.39,1:41.65,1:57.50
6.80,12.54,27.67,41.58,57.42,1:11.56,1:27.76,1:42.09,1:58.00
6.83,12.59,27.78,41.75,57.66,1:11.86,1:28.14,1:42.53,1:58.50
6.87,12.64,27.88,41.91,57.90,1:12.15,1:28.51,1:42.97,1:59.00
6.90,12.69,27.99,42.07,58.14,1:12.45,1:28.88,1:43.40,1:59.50
6.93,12.74,28.10,42.23,58.38,1:12.74,1:29.25,1:43.84,2:00.00
6.97,12.79,28.21,42.40,58.62,1:13.04,1:29.63,1:44.28,2:00.50
7.00,12.84,28.32,42.56,58.85,1:13.33,1:30.00,1:44.71,2:01.00
7.03,12.89,28.43,42.72,59.09,1:13.63,1:30.37,1:45.15,2:01.50
7.07,12.94,28.54,42.88,59.33,1:13.92,1:30.75,1:45.59,2:02.00
7.10,12.99,28.64,43.05,59.57,1:14.22,1:31.12,1:46.03,2:02.50
7.14,13.04,28.75,43.21,59.81,1:14.51,1:31.49,1:46.46,2:03.00
7.17,13.09,28.86,43.37,60.05,1:14.81,1:31.87,1:46.90,2:03.50
7.20,13.14,28.97,43.53,60.28,1:15.10,1:32.24,1:47.34,2:04.00
7.24,13.19,29.08,43.70,60.52,1:15.40,1:32.61,1:47.78,2:04.50
7.27,13.24,29.19,43.86,60.76,1:15.70,1:32.99,1:48.21,2:05.00
7.31,13.29,29.30,44.02,61.00,1:15.99,1:33.36,1:48.65,2:05.50
7.34,13.34,29.41,44.18,61.24,1:16.29,1:33.73,1:49.09,2:06.00
7.37,13.39,29.51,44.35,61.48,1:16.58,1:34.11,1:49.52,2:06.50
7.41,13.44,29.62,44.51,61.72,1:16.88,1:34.48,1:49.96,2:07.00
