15m,25m,50m,75m,100m,125m,150m,175m,200m
6.67,12.94,28.76,44.38,60.75,1:16.52,1:33.08,1:49.16,2:06.00
6.70,12.98,28.85,44.54,60.97,1:16.81,1:33.45,1:49.59,2:06.50
6.73,13.03,28.95,44.69,61.19,1:17.10,1:33.81,1:50.02,2:07.00
6.75,13.07,29.05,44.85,61.42,1:17.39,1:34.18,1:50.45,2:07.50
6.78,13.12,29.14,45.00,61.64,1:17.67,1:34.54,1:50.88,2:08.00
6.81,13.16,29.24,45.16,61.86,1:17.96,1:34.90,1:51.31,2:08.50
6.84,13.20,29.34,45.31,62.08,1:18.25,1:35.27,1:51.74,2:09.00
6.87,13.25,29.43,45.47,62.30,1:18.54,1:35.63,1:52.17,2:09.50
6.89,13.29,29.53,45.62,62.53,1:18.83,1:36.00,1:52.60,2:10.00
6.92,13.34,29.63,45.78,62.75,1:19.12,1:36.36,1:53.02,2:10.50
6.95,13.38,29.72,45.93,62.97,1:19.41,1:36.73,1:53.45,2:11.00
6.98,13.42,29.82,46.09,63.19,1:19.70,1:37.09,1:53.88,2:11.50
7.01,13.47,29.92,46.24,63.42,1:19.98,1:37.46,1:54.31,2:12.00
7.03,13.51,30.01,46.40,63.64,1:20.27,1:37.82,1:54.74,2:12.50
7.06,13.56,30.11,46.55,63.86,1:20.56,1:38.18,1:55.17,2:13.00
7.09,13.60,30.21,46.71,64.08,1:20.85,1:38.55,1:55.60,2:13.50
7.12,13.65,30.30,46.86,64.30,1:21.14,1:38.91,1:56.03,2:14.00
7.14,13.69,30.40,47.02,64.53,1:21.43,1:39.28,1:56.46,2:14.50
7.17,13.73,30.50,47.17,64.75,1:21.72,1:39.64,1:56.89,2:15.00
7.20,13.78,30.59,47.33,64.97,1:22.01,1:40.01,1:57.32,2:15.50
7.23,13.82,30.69,47.48,65.19,1:22.29,1:40.37,1:57.75,2:16.00
7.26,13.87,30.79,47.64,65.41,1:22.58,1:40.74,1:58.18,2:16.50
7.28,13.91,30.88,47.79,65.64,1:22.87,1:41.10,1:58.61,2:17.00
7.31,13.95,30.98,47.95,65.86,1:23.16,1:41.46,1:59.04,2:17.50
7.34,14.00,31.08,48.10,66.08,1:23.45,1:41.83,1:59.47,2:18.00
7.37,14.04,31.17,48.26,66.30,1:23.74,1:42.19,1:59.90,2:18.50
7.39,14.09,31.27,48.41,66.53,1:24.03,1:42.56,2:00.33,2:19.00
7.42,14.13,31.37,48.57,66.75,1:24.32,1:42.92,2:00.75,2:19.50
7.45,14.18,31.46,48.72,66.97,1:24.60,1:43.29,2:01.18,2:20.00
7.48,14.22,31.56,48.88,67.19,1:24.89,1:43.65,2:01.61,2:20.50
7.51,14.26,31.66,49.03,67.41,1:25.18,1:44.02,2:02.04,2:21.00
7.53,14.31,31.75,49.19,67.64,1:25.47,1:44.38,2:02.47,2:21.50
7.56,14.35,31.85,49.34,67.86,1:25.76,1:44.74,2:02.90,2:22.00
7.59,14.40,31.95,49.50,68.08,1:26.05,1:45.11,2:03.33,2:22.50
7.62,14.44,32.04,49.65,68.30,1:26.34,1:45.47,2:03.76,2:23.00
