15m,25m,50m,75m,100m,125m,150m,175m,200m
5.77,11.11,24.85,38.57,52.92,1:06.73,1:21.31,1:35.28,1:50.00
5.80,11.16,24.96,38.73,53.14,1:07.02,1:21.67,1:35.71,1:50.50
5.84,11.22,25.06,38.90,53.36,1:07.32,1:22.03,1:36.14,1:51.00
5.87,11.27,25.16,39.06,53.58,1:07.61,1:22.39,1:36.58,1:51.50
5.91,11.32,25.26,39.23,53.81,1:07.91,1:22.74,1:37.01,1:52.00
5.95,11.38,25.37,39.39,54.03,1:08.20,1:23.10,1:37.44,1:52.50
5.98,11.43,25.47,39.56,54.25,1:08.49,1:23.46,1:37.88,1:53.00
6.02,11.48,25.57,39.72,54.47,1:08.79,1:23.82,1:38.31,1:53.50
6.05,11.54,25.67,39.89,54.69,1:09.08,1:24.18,1:38.74,1:54.00
6.09,11.59,25.78,40.05,54.91,1:09.38,1:24.54,1:39.18,1:54.50
6.12,11.65,25.88,40.22,55.14,1:09.67,1:24.90,1:39.61,1:55.00
6.16,11.70,25.98,40.38,55.36,1:09.97,1:25.26,1:40.04,1:55.50
6.19,11.75,26.08,40.55,55.58,1:10.26,1:25.61,1:40.47,1:56.00
6.23,11.81,26.19,40.72,55.80,1:10.55,1:25.97,1:40.91,1:56.50
6.27,11.86,26.29,40.88,56.02,1:10.85,1:26.33,1:41.34,1:57.00
6.30,11.91,26.39,41.05,56.24,1:11.14,1:26.69,1:41.77,1:57.50
6.34,11.97,26.49,41.21,56.46,1:11.44,1:27.05,1:42.21,1:58.00
6.37,12.02,26.60,41.38,56.69,1:11.73,1:27.41,1:42.64,1:58.50
6.41,12.07,26.70,41.54,56.91,1:12.02,1:27.77,1:43.07,1:59.00
6.44,12.13,26.80,41.71,57.13,1:12.32,1:28.12,1:43.51,1:59.50
6.48,12.18,26.90,41.87,57.35,1:12.61,1:28.48,1:43.94,2:00.00
6.52,12.23,27.01,42.04,57.57,1:12.91,1:28.84,1:44.37,2:00.50
6.55,12.29,27.11,42.20,57.79,1:13.20,1:29.20,1:44.81,2:01.00
6.59,12.34,27.21,42.37,58.02,1:13.49,1:29.56,1:45.24,2:01.50
6.62,12.39,27.31,42.54,58.24,1:13.79,1:29.92,1:45.67,2:02.00
6.66,12.45,27.42,42.70,58.46,1:14.08,1:30.28,1:46.10,2:02.50
6.69,12.50,27.52,42.87,58.68,1:14.38,1:30.64,1:46.54,2:03.00
6.73,12.55,27.62,43.03,58.90,1:14.67,1:30.99,1:46.97,2:03.50
6.76,12.61,27.72,43.20,59.12,1:14.97,1:31.35,1:47.40,2:04.00
6.80,12.66,27.83,43.36,59.35,1:15.26,1:31.71,1:47.84,2:04.50
6.84,12.71,27.93,43.53,59.57,1:15.55,1:32.07,1:48.27,2:05.00
6.87,12.77,28.03,43.69,59.79,1:15.85,1:32.43,1:48.70,2:05.50
6.91,12.82,28.13,43.86,60.01,1:16.14,1:32.79,1:49.14,2:06.00
6.94,12.87,28.24,44.02,60.23,1:16.44,1:33.15,1:49.57,2:06.50
6.98,12.93,28.34,44.19,60.45,1:16.73,1:33.51,1:50.00,2:07.00
