15m,20m,25m,30m,35m,40m,45m,50m,60m,65m,70m,75m,80m,85m,90m,95m,100m
5.20,7.56,9.79,12.09,14.40,16.71,19.02,21.56,25.55,27.94,30.32,32.71,35.21,37.71,40.21,42.70,45.0
5.28,7.66,9.91,12.24,14.58,16.90,19.24,21.81,25.85,28.26,30.67,33.09,35.61,38.14,40.66,43.18,45.5
5.35,7.76,10.03,12.39,14.75,17.10,19.46,22.06,26.15,28.59,31.02,33.47,36.01,38.56,41.11,43.66,46.0
5.42,7.85,10.16,12.54,14.92,17.30,19.68,22.31,26.45,28.91,31.38,33.84,36.41,38.99,41.56,44.13,46.5
5.50,7.95,10.28,12.68,15.09,17.50,19.91,22.56,26.75,29.24,31.73,34.22,36.81,39.41,42.01,44.61,47.0
5.57,8.05,10.40,12.83,15.27,17.70,20.13,22.81,27.05,29.56,32.08,34.60,37.22,39.84,42.46,45.08,47.5
5.64,8.15,10.52,12.98,15.44,17.89,20.35,23.07,27.34,29.89,32.43,34.97,37.62,40.27,42.92,45.56,48.0
5.71,8.25,10.65,13.13,15.61,18.09,20.57,23.32,27.64,30.21,32.78,35.35,38.02,40.69,43.37,46.04,48.5
5.79,8.35,10.77,13.27,15.78,18.29,20.80,23.57,27.94,30.53,33.13,35.73,38.42,41.12,43.82,46.51,49.0
5.86,8.45,10.89,13.42,15.96,18.49,21.02,23.82,28.24,30.86,33.48,36.10,38.82,41.55,44.27,46.99,49.5
5.93,8.54,11.01,13.57,16.13,18.68,21.24,24.07,28.54,31.18,33.83,36.48,39.22,41.97,44.72,47.46,50.0
6.01,8.64,11.14,13.72,16.30,18.88,21.46,24.32,28.84,31.51,34.18,36.86,39.63,42.40,45.17,47.94,50.5
6.08,8.74,11.26,13.86,16.47,19.08,21.69,24.58,29.14,31.83,34.53,37.23,40.03,42.82,45.62,48.42,51.0
6.15,8.84,11.38,14.01,16.65,19.28,21.91,24.83,29.43,32.16,34.88,37.61,40.43,43.25,46.07,48.89,51.5
6.22,8.94,11.50,14.16,16.82,19.47,22.13,25.08,29.73,32.48,35.23,37.99,40.83,43.68,46.53,49.37,52.0
6.30,9.04,11.63,14.31,16.99,19.67,22.36,25.33,30.03,32.81,35.58,38.36,41.23,44.10,46.98,49.84,52.5
6.37,9.13,11.75,14.45,17.16,19.87,22.58,25.58,30.33,33.13,35.93,38.74,41.63,44.53,47.43,50.32,53.0
6.44,9.23,11.87,14.60,17.34,20.07,22.80,25.84,30.63,33.46,36.28,39.12,42.03,44.96,47.88,50.80,53.5
6.52,9.33,11.99,14.75,17.51,20.26,23.02,26.09,30.93,33.78,36.63,39.49,42.44,45.38,48.33,51.27,54.0
6.59,9.43,12.12,14.90,17.68,20.46,23.25,26.34,31.23,34.11,36.98,39.87,42.84,45.81,48.78,51.75,54.5
6.66,9.53,12.24,15.04,17.85,20.66,23.47,26.59,31.52,34.43,37.34,40.25,43.24,46.24,49.23,52.22,55.0
6.73,9.63,12.36,15.19,18.03,20.86,23.69,26.84,31.82,34.75,37.69,40.62,43.64,46.66,49.68,52.70,55.5
6.81,9.72,12.48,15.34,18.20,21.05,23.91,27.09,32.12,35.08,38.04,41.00,44.04,47.09,50.13,53.18,56.0
6.88,9.82,12.61,15.49,18.37,21.25,24.14,27.35,32.42,35.40,38.39,41.38,44.44,47.51,50.59,53.65,56.5
6.95,9.92,12.73,15.63,18.54,21.45,24.36,27.60,32.72,35.73,38.74,41.75,44.84,47.94,51.04,54.13,57.0
7.03,10.02,12.85,15.78,18.72,21.65,24.58,27.85,33.02,36.05,39.09,42.13,45.25,48.37,51.49,54.60,57.5
7.10,10.12,12.97,15.93,18.89,21.84,24.80,28.10,33.32,36.38,39.44,42.51,45.65,48.79,51.94,55.08,58.0
7.17,10.22,13.10,16.08,19.06,22.04,25.03,28.35,33.61,36.70,39.79,42.88,46.05,49.22,52.39,55.55,58.5
7.25,10.31,13.22,16.22,19.23,22.24,25.25,28.60,33.91,37.03,40.14,43.26,46.45,49.65,52.84,56.03,59.0
7.32,10.41,13.34,16.37,19.41,22.44,25.47,28.86,34.21,37.35,40.49,43.64,46.85,50.07,53.29,56.51,59.5
7.39,10.51,13.46,16.52,19.58,22.63,25.69,29.11,34.51,37.68,40.84,44.01,47.25,50.50,53.74,56.98,60.0
