15m,25m,50m,75m,100m,125m,150m,175m,200m
5.78,10.75,23.89,35.88,49.29,1:01.30,1:14.82,1:26.88,1:40.00
5.80,10.80,23.99,36.04,49.51,1:01.59,1:15.17,1:27.31,1:40.50
5.83,10.84,24.09,36.19,49.73,1:01.88,1:15.53,1:27.74,1:41.00
5.86,10.89,24.18,36.35,49.95,1:02.17,1:15.89,1:28.17,1:41.50
5.88,10.94,24.28,36.51,50.17,1:02.46,1:16.25,1:28.61,1:42.00
5.91,10.98,24.37,36.67,50.39,1:02.75,1:16.61,1:29.04,1:42.50
5.94,11.03,24.47,36.82,50.61,1:03.04,1:16.96,1:29.47,1:43.00
5.97,11.07,24.56,36.98,50.83,1:03.33,1:17.32,1:29.90,1:43.50
5.99,11.12,24.66,37.14,51.05,1:03.62,1:17.68,1:30.33,1:44.00
6.02,11.17,24.76,37.29,51.27,1:03.91,1:18.04,1:30.76,1:44.50
6.05,11.21,24.85,37.45,51.49,1:04.20,1:18.40,1:31.19,1:45.00
6.08,11.26,24.95,37.61,51.71,1:04.48,1:18.75,1:31.63,1:45.50
6.10,11.30,25.04,37.77,51.93,1:04.77,1:19.11,1:32.06,1:46.00
6.13,11.35,25.14,37.92,52.15,1:05.06,1:19.47,1:32.49,1:46.50
6.16,11.40,25.23,38.08,52.37,1:05.35,1:19.83,1:32.92,1:47.00
6.18,11.44,25.33,38.24,52.59,1:05.64,1:20.18,1:33.35,1:47.50
6.21,11.49,25.43,38.40,52.81,1:05.93,1:20.54,1:33.78,1:48.00
6.24,11.53,25.52,38.55,53.02,1:06.22,1:20.90,1:34.21,1:48.50
6.27,11.58,25.62,38.71,53.24,1:06.51,1:21.26,1:34.64,1:49.00
6.29,11.63,25.71,38.87,53.46,1:06.80,1:21.62,1:35.08,1:49.50
6.32,11.67,25.81,39.03,53.68,1:07.09,1:21.97,1:35.51,1:50.00
6.35,11.72,25.90,39.18,53.90,1:07.38,1:22.33,1:35.94,1:50.50
6.38,11.76,26.00,39.34,54.12,1:07.67,1:22.69,1:36.37,1:51.00
6.40,11.81,26.10,39.50,54.34,1:07.96,1:23.05,1:36.80,1:51.50
6.43,11.86,26.19,39.65,54.56,1:08.25,1:23.41,1:37.23,1:52.00
6.46,11.90,26.29,39.81,54.78,1:08.54,1:23.76,1:37.66,1:52.50
6.48,11.95,26.38,39.97,55.00,1:08.83,1:24.12,1:38.09,1:53.00
6.51,11.99,26.48,40.13,55.22,1:09.12,1:24.48,1:38.53,1:53.50
6.54,12.04,26.57,40.28,55.44,1:09.40,1:24.84,1:38.96,1:54.00
6.57,12.09,26.67,40.44,55.66,1:09.69,1:25.19,1:39.39,1:54.50
6.59,12.13,26.77,40.60,55.88,1:09.98,1:25.55,1:39.82,1:55.00
6.62,12.18,26.86,40.76,56.10,1:10.27,1:25.91,1:40.25,1:55.50
6.65,12.22,26.96,40.91,56.32,1:10.56,1:26.27,1:40.68,1:56.00
6.68,12.27,27.05,41.07,56.54,1:10.85,1:26.63,1:41.11,1:56.50
6.70,12.32,27.15,41.23,56.75,1:11.14,1:26.98,1:41.55,1:57.00
